trait_id,trait_name
PO:0007131,"seedling development stage"
PO:0007132,"sporophyte dormant stage"
PO:0007133,"leaf production stage"
PO:0007134,"sporophyte vegetative stage"
PO:0007135,"4 growth directionality stage"
PO:0007501,"root cap formation stage"
PO:0007503,"A2.1 root intials differntiation of primary roots"
PO:0007504,"crown root primordium formation stage"
PO:0007505,"1 root primordium formation stage"
PO:0007506,"primary root primordium formation stage"
PO:0007509,"root vascular cylinder differentiation stage"
PO:0007510,"root emergence stage"
PO:0007511,"lateral root primordium formation stage"
PO:0007512,"A2 root initials differentiation stage"
PO:0007513,"root cortex differentiation stage"
PO:0007514,"B3 crown root meristem formation"
PO:0007516,"root epidermal differentiation stage"
PO:0007517,"lateral root emergence stage"
PO:0007518,"crown root emergence stage"
PO:0007519,"5 root hair formation stage"
PO:0007520,"root development stage"
